task_id,perm_id,variance,avg_jaccard,num_tools
0,0,0.24000000000000005,0.26666666666666666,8
0,1,0.24000000000000005,0.4666666666666667,8
0,2,0.25,0.4444444444444444,8
0,3,5.01,0.2917460317460317,8
0,4,1.3599999999999999,0.34074074074074073,8
1,0,5.959999999999999,0.23543209876543209,8
1,1,2.09,0.4896296296296296,8
1,2,1.1600000000000001,0.3333333333333333,8
1,3,1.21,0.49444444444444446,8
1,4,1.6900000000000002,0.43259259259259253,8
2,0,2.49,0.3377777777777778,8
2,1,7.410000000000001,0.2414285714285714,8
2,2,1.85,0.19777777777777775,8
2,3,6.25,0.3157936507936508,8
2,4,2.44,0.27185185185185184,8
3,0,1.5599999999999998,0.3625925925925926,8
3,1,5.65,0.3157407407407407,8
3,2,2.05,0.2833333333333333,8
3,3,0.16000000000000003,0.4888888888888889,8
3,4,2.16,0.287037037037037,8
4,0,1.09,0.1925925925925926,8
4,1,1.05,0.3333333333333333,8
4,2,0.8399999999999999,0.4222222222222222,8
4,3,1.9600000000000004,0.30444444444444446,8
4,4,1.64,0.2911111111111111,8
5,0,1.21,0.32222222222222224,8
5,1,0.16000000000000006,0.6444444444444445,8
5,2,0.8099999999999999,0.3907407407407408,8
5,3,5.61,0.39166666666666666,8
5,4,6.4,0.26592592592592595,8
6,0,1.16,0.37777777777777777,8
6,1,0.29000000000000004,0.5666666666666667,8
6,2,2.25,0.3277777777777778,8
6,3,0.36000000000000004,0.8,8
6,4,0.89,0.4111111111111111,8
7,0,1.0900000000000003,0.35555555555555557,8
7,1,0.65,0.4777777777777778,8
7,2,2.0900000000000003,0.34074074074074073,8
7,3,1.8400000000000003,0.29333333333333333,8
7,4,4.24,0.4514814814814815,8
8,0,0.7600000000000001,0.4259259259259259,8
8,1,0.69,0.35185185185185186,8
8,2,2.41,0.30814814814814817,8
8,3,1.2100000000000002,0.29814814814814816,8
8,4,1.1600000000000001,0.41481481481481475,8
9,0,1.29,0.41481481481481475,8
9,1,2.96,0.3338624338624338,8
9,2,1.24,0.21296296296296294,8
9,3,1.44,0.3277777777777777,8
9,4,0.8900000000000002,0.4,8
10,0,3.4899999999999998,0.31037037037037035,8
10,1,2.21,0.36,8
10,2,3.0,0.32010582010582006,8
10,3,1.0900000000000003,0.5333333333333333,8
10,4,1.6,0.3851851851851852,8
11,0,5.01,0.29095238095238096,8
11,1,6.29,0.2671604938271605,8
11,2,5.5600000000000005,0.36222222222222217,8
11,3,2.16,0.3855555555555556,8
11,4,3.96,0.4933333333333333,8
12,0,3.6399999999999997,0.432962962962963,8
12,1,3.289999999999999,0.3658730158730159,8
12,2,6.4399999999999995,0.397037037037037,8
12,3,4.41,0.2916137566137566,8
12,4,1.44,0.4177777777777778,8
13,0,0.64,0.39259259259259255,8
13,1,2.01,0.2985185185185185,8
13,2,5.409999999999999,0.3568253968253969,8
13,3,2.2400000000000007,0.2811111111111111,8
13,4,1.36,0.2685185185185185,8
14,0,2.960000000000001,0.24333333333333332,8
14,1,2.4400000000000004,0.2674074074074074,8
14,2,1.21,0.49444444444444446,8
14,3,4.0,0.6317460317460318,8
14,4,0.69,0.3259259259259259,8
15,0,0.85,0.4666666666666667,8
15,1,1.6900000000000002,0.32481481481481483,8
15,2,2.7600000000000007,0.29814814814814816,8
15,3,1.0100000000000002,0.3851851851851852,8
15,4,4.69,0.32314814814814813,8
16,0,5.160000000000001,0.2833333333333333,8
16,1,1.8900000000000001,0.31296296296296294,8
16,2,2.209999999999999,0.49777777777777776,8
16,3,2.56,0.346031746031746,8
16,4,0.8099999999999999,0.4296296296296296,8
17,0,2.0100000000000002,0.37555555555555553,8
17,1,3.81,0.3428571428571428,8
17,2,0.41,0.4592592592592592,8
17,3,1.16,0.37777777777777777,8
17,4,6.359999999999999,0.2613756613756614,8
18,0,3.8,0.4042328042328042,8
18,1,5.01,0.3994444444444445,8
18,2,3.21,0.327037037037037,8
18,3,2.49,0.42666666666666675,8
18,4,2.8099999999999996,0.2859259259259259,8
19,0,3.6100000000000003,0.21317460317460316,8
19,1,5.05,0.4561111111111111,8
19,2,3.3600000000000003,0.3456613756613756,8
19,3,2.21,0.2759259259259259,8
19,4,1.9599999999999997,0.31235449735449733,8
20,0,0.69,0.4222222222222222,8
20,1,7.240000000000002,0.2561111111111111,8
20,2,4.81,0.353968253968254,8
20,3,2.96,0.3225925925925926,8
